 
****************************************
Report : power
        -net
        -analysis_effort low
        -sort_mode net_switching_power
Design : DLX_IR_SIZE32_PC_SIZE32
Version: F-2011.09-SP3
Date   : Sun Sep 19 19:45:02 2021
****************************************


Library(s) Used:

    NangateOpenCellLibrary (File: /home/mariagrazia.graziano/do/libnangate/NangateOpenCellLibrary_typical_ecsm.db)


Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

Design        Wire Load Model            Library
------------------------------------------------
DLX_IR_SIZE32_PC_SIZE32
                       5K_hvratio_1_1    NangateOpenCellLibrary


Global Operating Voltage = 1.1  
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1nW



  Attributes
  ----------
      a  -  Switching activity information annotated on net
      d  -  Default switching activity information on net

                             Total      Static   Toggle   Switching
Net                          Net Load   Prob.    Rate     Power      Attrs
DTPTH_I/ALU_OP/adder/carry_logic/gi[7][0]
                               2.325    0.263    0.1013      0.1426  
DTPTH_I/ALU_OP/adder/carry_logic/gi[19][0]
                               2.325    0.255    0.1009      0.1420  
DTPTH_I/ALU_OP/adder/carry_logic/gi[3][0]
                               2.325    0.255    0.1004      0.1412  
DTPTH_I/ALU_OP/adder/carry_logic/gi[2][0]
                               2.325    0.244    0.0994      0.1398  
DTPTH_I/ALU_OP/adder/carry_logic/gi[28][0]
                               2.325    0.252    0.0993      0.1397  
DTPTH_I/ALU_OP/adder/carry_logic/gi[27][0]
                               2.325    0.244    0.0987      0.1389  
DTPTH_I/ALU_OP/adder/carry_logic/gi[11][0]
                               2.325    0.253    0.0980      0.1379  
DTPTH_I/ALU_OP/adder/carry_logic/gi[12][0]
                               2.325    0.239    0.0979      0.1377  
DTPTH_I/ALU_OP/adder/carry_logic/gi[16][0]
                               2.325    0.256    0.0975      0.1372  
DTPTH_I/ALU_OP/adder/carry_logic/gi[23][0]
                               2.325    0.250    0.0975      0.1372  
DTPTH_I/ALU_OP/adder/carry_logic/gi[0][0]
                               2.325    0.250    0.0970      0.1365  
DTPTH_I/ALU_OP/adder/carry_logic/gi[8][0]
                               2.325    0.248    0.0969      0.1363  
DTPTH_I/ALU_OP/adder/carry_logic/gi[15][0]
                               2.325    0.248    0.0963      0.1355  
DTPTH_I/ALU_OP/adder/carry_logic/gi[20][0]
                               2.325    0.246    0.0957      0.1346  
DTPTH_I/ALU_OP/adder/carry_logic/gi[24][0]
                               2.325    0.246    0.0948      0.1334  
DTPTH_I/regB_mem[0]            2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[1]            2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[2]            2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[3]            2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[4]            2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[5]            2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[6]            2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[7]            2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[8]            2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[9]            2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[10]           2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[11]           2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[12]           2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[13]           2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[14]           2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[15]           2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[16]           2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[17]           2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[18]           2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[19]           2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[20]           2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[21]           2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[22]           2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[23]           2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[24]           2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[25]           2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[26]           2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[27]           2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[28]           2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[29]           2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[30]           2.189    0.500    0.1000      0.1324  d
DTPTH_I/regB_mem[31]           2.189    0.500    0.1000      0.1324  d
DTPTH_I/IR_26_mem[1]           2.073    0.500    0.1000      0.1254  d
DTPTH_I/IR_26_mem[3]           1.974    0.500    0.1000      0.1194  d
DTPTH_I/IR_26_mem[2]           1.970    0.500    0.1000      0.1192  d
n262                           1.933    0.500    0.1000      0.1169  d
DTPTH_I/IR_26_mem[5]           1.926    0.500    0.1000      0.1165  d
DTPTH_I/IR_OP/IMMEDIATE_16[15]
                               1.909    0.500    0.1000      0.1155  d
DTPTH_I/IR_26_mem[0]           1.905    0.500    0.1000      0.1152  d
DTPTH_I/IR_26_mem[4]           1.832    0.500    0.1000      0.1108  d
DTPTH_I/IR_Dec[29]             1.658    0.500    0.1000      0.1003  d
DTPTH_I/add_254/carry[4]       3.758    0.058    0.0439      0.0999  
DTPTH_I/IR_Dec[31]             1.640    0.500    0.1000      0.0992  d
DTPTH_I/IR_Dec[30]             1.639    0.500    0.1000      0.0992  d
DTPTH_I/IR_Dec[26]             1.637    0.500    0.1000      0.0990  d
DTPTH_I/ALU_OP/adder/Cout_gen[3]
                               1.636    0.500    0.1000      0.0990  d
DTPTH_I/IR_Dec[27]             1.623    0.500    0.1000      0.0982  d
DTPTH_I/IR_Dec[28]             1.613    0.500    0.1000      0.0976  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[0]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[1]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[2]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[3]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[4]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[5]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[6]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[7]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[8]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[9]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[10]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[11]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[12]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[13]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[14]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[15]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[16]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[17]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[18]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[19]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[20]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[21]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[22]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[23]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[24]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[25]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[26]
